336
de advocaat ,  the lawyer ;
de zeikenhuizen ,  the hospitals ;
de computerfirma ,  the computer company ;
de journalist ,  the journalist ;
de journalisten ,  the journalists ;
het departement ,  the department ;
de departementen ,  the departments ;
het land ,  the country ;
de landen ,  the countried ;
het instituut ,  the institute ;
de instituten ,  the institutes ;
het Nederlands ,  the Dutch (language) ;
het Frans ,  the French (language) ;
het Duits ,  the Deutch (language) ;
de taal ,  the language ;
de talen ,  the languages ;
de naam ,  the name ;
de achternaam ,  the surname ;
de voornaam ,  the name ;
de letter ,  the letter (unit of the alphabet) ;
de letters ,  the letters (units of the alphabet) ;
het alphabet ,  the alphabet ;
de straat ,  the street ;
de straten ,  the streets ;
het beetje ,  the bit ;
de beetjes ,  the bits ;
het artikel ,  the article ;
de artikelen ,  the articles ;
het woord ,  the word ;
de woorden ,  the words ;
de mens ,  the person ;
de mensen ,  the persons ;
de luchthaven ,  the airport ;
de  luchthavens ,  the airports ;
de stewardess ,  the stewardess ;
de stewardessen ,  the stewardesses ;
de passagier ,  the passenger ;
de passagiers ,  the passengers ;
het Engeland ,  the England ;
het Rusland ,  the Russia ;
het België ,  the Belgium ;
de reis ,  the trip ;
de reizen ,  the trips ;
het werkwoord ,  the verb ;
de broer ,  the brother ;
de  broers ,  the brothers ;
de moeder ,  the mother ;
de moeders ,  the mothers ;
de vader ,  the father ;
de vaders ,  the fathers ;
de geboorteplaats ,  the birthplace ;
de woonplaats ,  the residence ;
het beroep ,  the profession ;
de beroepen ,  the professions ;
de zoon ,  the son ;
de zoonen ,  the sons ;
de zoons ,  the sons ;
de zus ,  the sister ;
de zussen ,  the sisters ;
de dochter ,  the daughter ;
de dochters ,  the daughtes ;
de dochteren ,  the daughtes ;
het feest ,  the festival ;
de feesten ,  the festivals ;
het feestje ,  the party ;
het gezin ,  the small family ;
de gezinnen ,  the small families ;
de familie ,  the extended family ;
de families ,  the extended families ;
de ouders ,  the parents ;
de ouders ,  the parent ;
de winkel ,  the shop ;
de winkels ,  the shops ;
de verpleegkundige ,  the nurse ;
de verpleegkundigen ,  the nurses ;
de dag ,  the day ;
de dagen ,  the days ;
de filosofie ,  the philosophy ;
de kaart ,  the map ;
de kaarten ,  the maps ;
de herkomst ,  the origin ;
de bestemming ,  the destination ;
de vraag ,  the question ;
de vragen ,  the questions ;
het iets ,  the something ;
het centrum ,  the center ;
de centrums ,  the centers ;
de koning ,  the king ;
de koningin ,  the queen ;
de functie ,  the function ;
de functies ,  the functions ;
het ceremonial ,  the ceremonial (noun) ;
de Belg ,  the Belgian ;
de Belgen ,  the Belgians ;
de Vlaming ,  the a citizen of Flanders ;
de Vlamingen ,  the citizens of Flanders ;
het Vlaanderen ,  the Flanders ;
het Wallonië ,  the Wallonia ;
de Waal ,  the a citizen of Wallonia ;
de Walen ,  the citizens of Wallonia ;
het noorden ,  the the North ;
het zuiden ,  the the South ;
de inwoner ,  the inhabitant ;
de inwoners ,  the inhabitants ;
de rest ,  the rest ;
de autonomie ,  the autonomy ;
de regio ,  the region ;
de regio's ,  the regions ;
de regering ,  the government ;
het parlement ,  the parliament ;
de groep ,  the group ;
de groepen ,  the groups ;
de hoofdstad ,  the capital ;
de provincie ,  the province ;
de provincies ,  the provinces ;
de staat ,  the state ;
de staten ,  the states ;
de morgen ,  the morning ;
de dag ,  the day ;
de avond ,  the evening ;
het alfabet ,  the alphabet ;
de dranken ,  the drinks ;
de drank ,  the drink ;
het voertuig ,  the vehicle ;
het voertuigen ,  the vehicles ;
de activiteit ,  the activity ;
de relatie ,  the relationship ;
de bankbediende ,  the bank clerk ;
de fotograaf ,  the photograph ;
de fotografe ,  the photograph ;
de kapper ,  the hairdresser ;
de kappers ,  the hairdressers ;
het deel ,  the part ;
de delen ,  the parts ;
de structuur ,  the structure ;
de structuren ,  the structures ;
de bakker ,  the baker ;
de bakkers ,  the bakers ;
de slager ,  the butcher ;
de slaggers ,  the butchers ;
het papier ,  the paper ;
de papieren ,  the papers ;
het adres ,  the address ;
de buur ,  the neighbour ;
de buren ,  the neighbours ;
de republiek ,  the republic ;
het koninkrijk ,  the kingdom ;
de grondwet ,  the constitution ;
de  neef ,  the nephew ;
de nicht ,  the niece ;
de tante ,  the aunt ;
de oom ,  the uncle (official) ;
de kleinkinderen ,  the grandchildren ;
het kleinkind ,  the grandkid ;
de kleinzoon ,  the grandson ;
de kleindochter ,  the granddaughter ;
de grootvader ,  the grandfather ;
de grootmoeder ,  the grandmother ;
de grootouders ,  the grandparents ;
de schoonzus ,  the sister-in-law ;
de douane ,  the customs ;
het klimaat ,  the climat ;
de boom ,  the tree ;
de bomen ,  the trees ;
de bom ,  the bomb ;
de bommen ,  the bombs ;
de onkel ,  the uncle (not official) ;
het onderwijs ,  the education ;
de kwestie ,  the question / difficulty ;
het gesprek ,  the conversation ;
de ceremonie ,  the ceremony ;
de vergadering ,  the meeting ;
het gedrag ,  the behaviour ;
de zee ,  the sea ;
het aroma ,  the aroma ;
de smaak ,  the taste ;
het uniform ,  the uniform ;
het diploma ,  the diploma ;
de gift ,  the gift ;
het gebaar ,  the gesture ;
de zin ,  the sentence ;
het inkomen ,  the income ;
de hymne ,  the anthem ;
de  vlag ,  the flag ;
het verhaal ,  the story ;
de jurk ,  the dress ;
de vakantie ,  the holiday ;
het  weekend ,  the weekend ;
her weer ,  the weather ;
warm , hot ;
koud , cold ;
getrouwde , married ;
gescheiden , divorced ;
academisch , academic ;
formeel , formal ;
informeel , informal ;
interessant , interesting ;
goed , good ;
prettig , pleasant ;
dood , dead ;
ander , other ;
jong , young ;
complex , complex ;
ceremonieel , ceremonial ;
officieel , official ;
autonoom , autonomous ;
symbolisch , symbolic ;
linguïstische , linguistic ;
nationaal , national ;
federaal , federal ;
juist  , correct ;
duur , expensive ;
kort , short ;
lang , long ;
uitstekend , outstanding ;
verschrikkelijk , terrible ;
